"","dps","health_zone","province_shp","zs_id","hz_shp1","hz_shp2","dps_snis","hz_snis","hz_pnlp","dps_pnlp","V11","dps_sv","hz_sv"
"464","sud-kivu","nyatende","Sud Kivu",194,"Nyatende","Nyantende","sk Sud Kivu Province","sk Nyantende Zone de Santé","nyantende","sud kivu","","sk Sud Kivu","sk Nyantende"
"465","sud-kivu","ruzizi","Sud Kivu",373,"Ruzizi","Ruzizi","sk Sud Kivu Province","sk Ruzizi Zone de Santé","ruzizi","sud kivu","","sk Sud Kivu","sk Ruzizi"
"466","sud-kivu","shabunda","Sud Kivu",447,"Shabunda","Shabunda Centre","sk Sud Kivu Province","sk Shabunda Zone de Santé","shabunda","sud kivu","","sk Sud Kivu","sk Shabunda"
"467","sud-kivu","uvira","Sud Kivu",366,"Uvira",NA,"sk Sud Kivu Province","sk Uvira Zone de Santé","bijombo","sud kivu","","sk Sud Kivu","sk Haut Plateau"
"468","sud-kivu","uvira","Sud Kivu",366,"Uvira",NA,"sk Sud Kivu Province","sk Uvira Zone de Santé","bijombo","sud kivu","","sk Sud Kivu","sk Uvira"
"469","sud-kivu","uvira","Sud Kivu",201,"Haut Plateau","Hauts Plateaux","sk Sud Kivu Province","sk Haut Plateau Zone de Santé","uvira","sud kivu","","sk Sud Kivu","sk Haut Plateau"
"470","sud-kivu","uvira","Sud Kivu",201,"Haut Plateau","Hauts Plateaux","sk Sud Kivu Province","sk Haut Plateau Zone de Santé","uvira","sud kivu","","sk Sud Kivu","sk Uvira"
"471","sud-kivu","uvira","Sud Kivu",366,"Uvira","Uvira","sk Sud Kivu Province","sk Uvira Zone de Santé","uvira","sud kivu","","sk Sud Kivu","sk Haut Plateau"
"472","sud-kivu","uvira","Sud Kivu",366,"Uvira","Uvira","sk Sud Kivu Province","sk Uvira Zone de Santé","uvira","sud kivu","","sk Sud Kivu","sk Uvira"
"473","sud-kivu","walungu","Sud Kivu",200,"Walungu","Walungu","sk Sud Kivu Province","sk Walungu Zone de Santé","walungu","sud kivu","","sk Sud Kivu","sk Walungu"
"474","sud-ubangi","bangabola","Equateur",309,"Bangabola","Bangabola","su Sud Ubangi Province","su Bangabola Zone de Santé","bangabola","sud ubangi","","su Sud Ubangi","su Bangabola"
"475","sud-ubangi","bokonzi","Equateur",424,"Bokonzi","Bokonzi","su Sud Ubangi Province","su Bokonzi Zone de Santé","bokonzi","sud ubangi","","su Sud Ubangi","su Bokonzi"
"476","sud-ubangi","bominenge","Equateur",320,"Bominenge","Bominenge","su Sud Ubangi Province","su Bominenge Zone de Santé","bominenge","sud ubangi","","su Sud Ubangi","su Bominenge"
"477","sud-ubangi","bongosenubia","Equateur",114,"Bongosenubia","Bogose nubea","su Sud Ubangi Province","su Bogosenubea Zone de Santé","bogosenusebea","sud ubangi","","su Sud Ubangi","su Bogosenubea"
"478","sud-ubangi","boto","Equateur",293,"Boto","Boto","su Sud Ubangi Province","su Boto Zone de Santé","boto","sud ubangi","","su Sud Ubangi","su Boto"
"479","sud-ubangi","budjala","Equateur",311,"Budjala","Budjala","su Sud Ubangi Province","su Budjala Zone de Santé","budjala","sud ubangi","","su Sud Ubangi","su Budjala"
"480","sud-ubangi","bulu","Equateur",323,"Bulu","Bulu","su Sud Ubangi Province","su Bulu Zone de Santé","bulu","sud ubangi","","su Sud Ubangi","su Bulu"
"481","sud-ubangi","bwamanda","Equateur",292,"Bwamanda","Bwamanda","su Sud Ubangi Province","su Bwamanda Zone de Santé","bwamanda","sud ubangi","","su Sud Ubangi","su Bwamanda"
"482","sud-ubangi","gemena","Equateur",321,"Gemena","Gemena","su Sud Ubangi Province","su Gemena Zone de Santé","gemena","sud ubangi","","su Sud Ubangi","su Gemena"
"483","sud-ubangi","kungu","Equateur",294,"Kungu","Kungu","su Sud Ubangi Province","su Kungu Zone de Santé","kungu","sud ubangi","","su Sud Ubangi","su Kungu"
"484","sud-ubangi","libenge","Equateur",429,"Libenge","Libenge","su Sud Ubangi Province","su Libenge Zone de Santé","libenge","sud ubangi","","su Sud Ubangi","su Libenge"
"485","sud-ubangi","mawuya","Equateur",427,"Mawuya","Mawuya","su Sud Ubangi Province","su Mawuya Zone de Santé","mawuya","sud ubangi","","su Sud Ubangi","su Mawuya"
"486","sud-ubangi","mbaya","Equateur",322,"Mbaya","Mbaya","su Sud Ubangi Province","su Mbaya Zone de Santé","mbaya","sud ubangi","","su Sud Ubangi","su Mbaya"
"487","sud-ubangi","ndage","Equateur",318,"Ndage","Ndage","su Sud Ubangi Province","su Ndage Zone de Santé","ndage","sud ubangi","","su Sud Ubangi","su Ndage"
"488","sud-ubangi","tandala","Equateur",324,"Tandala","Tandala","su Sud Ubangi Province","su Tandala Zone de Santé","tandala","sud ubangi","","su Sud Ubangi","su Tandala"
"489","sud-ubangi","zongo","Equateur",428,"Zongo","Zongo","su Sud Ubangi Province","su Zongo Zone de Santé","zongo","sud ubangi","","su Sud Ubangi","su Zongo"
"490","tanganyika","ankoro","Katanga",476,"Ankoro","Ankoro","tn Tanganyika Province","tn Ankoro Zone de Santé","ankoro","tanganyika","","tn Tanganyika","tn Ankoro"
"491","tanganyika","kabalo","Katanga",466,"Kabalo","Kabalo","tn Tanganyika Province","tn Kabalo Zone de Santé","kabalo","tanganyika","","tn Tanganyika","tn Kabalo"
"492","tanganyika","kalemie","Katanga",338,"Kalemie","Kalemie","tn Tanganyika Province","tn Kalemie Zone de Santé","kalemi","tanganyika","","tn Tanganyika","tn Kalemie"
"493","tanganyika","kasimba","Katanga",339,"Kasimba","Kansimba","tn Tanganyika Province","tn Kansimba Zone de Santé","kansimba","tanganyika","","tn Tanganyika","tn Kansimba"
"494","tanganyika","kiambi","Katanga",348,"Kiambi","Kiambi","tn Tanganyika Province","tn Kiambi Zone de Santé","kiyambi","tanganyika","","tn Tanganyika","tn Kiambi"
"495","tanganyika","kongolo","Katanga",464,"Kongolo","Kongolo","tn Tanganyika Province","tn Kongolo Zone de Santé","kongolo","tanganyika","","tn Tanganyika","tn Kongolo"
"496","tanganyika","manono","Katanga",349,"Manono","Manono","tn Tanganyika Province","tn Manono Zone de Santé","manono","tanganyika","","tn Tanganyika","tn Manono"
"497","tanganyika","mbulala","Katanga",465,"Mbulala","Mbulula","tn Tanganyika Province","tn Mbulula Zone de Santé","mbulula","tanganyika","","tn Tanganyika","tn Mbulula"
"498","tanganyika","moba","Katanga",111,"Moba","Moba","tn Tanganyika Province","tn Moba Zone de Santé","moba","tanganyika","","tn Tanganyika","tn Moba"
"499","tanganyika","nyemba","Katanga",378,"Nyemba","Nyemba","tn Tanganyika Province","tn Nyemba Zone de Santé","nyemba","tanganyika","","tn Tanganyika","tn Nyemba"
"500","tanganyika","nyunzu","Katanga",380,"Nyunzu","Nyunzu","tn Tanganyika Province","tn Nyunzu Zone de Santé","nyunzu","tanganyika","","tn Tanganyika","tn Nyunzu"
"501","tshopo","bafwabogbo","Province Oriental",215,"Bafwabogbo","Bafwagbogbo","tp Tshopo Province","tp Bafwagbogbo Zone de Santé","bafwagbogbo","tshopo","","tp Tshopo","tp Bafwagbogbo"
"502","tshopo","bafwasende","Province Oriental",214,"Bafwasende","Bafwasende","tp Tshopo Province","tp Bafwasende Zone de Santé","bafwasende","tshopo","","tp Tshopo","tp Bafwasende"
"503","tshopo","banalia","Province Oriental",213,"Banalia","Banalia","tp Tshopo Province","tp Banalia Zone de Santé","banalia","tshopo","","tp Tshopo","tp Banalia"
"504","tshopo","basali","Province Oriental",202,"Basali","Basali","tp Tshopo Province","tp Basali Zone de Santé","basali","tshopo","","tp Tshopo","tp Basali"
"505","tshopo","basoko","Province Oriental",203,"Basoko","Basoko","tp Tshopo Province","tp Basoko Zone de Santé","basoko","tshopo","","tp Tshopo","tp Basoko"
"506","tshopo","bengamisa","Province Oriental",204,"Bengamisa","Bengamisa","tp Tshopo Province","tp Bengamisa Zone de Santé","bengamisa","tshopo","","tp Tshopo","tp Bengamisa"
"507","tshopo","isangi","Province Oriental",209,"Isangi","Isangi","tp Tshopo Province","tp Isangi Zone de Santé","isangi","tshopo","","tp Tshopo","tp Isangi"
"508","tshopo","kabondo","Province Oriental",334,"Kabondo","Kabondo","tp Tshopo Province","tp Kabondo Zone de Santé","kabondo","tshopo","","tp Tshopo","tp Kabondo"
"509","tshopo","lowa","Province Oriental",403,"Lowa","Lowa","tp Tshopo Province","tp Lowa Zone de Santé","lowa","tshopo","","tp Tshopo","tp Lowa"
"510","tshopo","lubunga","Kasai Occidental",35,"Lubunga","Lubunga","tp Tshopo Province","tp Lubunga Zone de Santé","lubunga","tshopo","","tp Tshopo","tp Lubunga"
"511","tshopo","lubunga","Province Oriental",332,"Lubunga","Lubunga","tp Tshopo Province","tp Lubunga Zone de Santé","lubunga","tshopo","","tp Tshopo","tp Lubunga"
"512","tshopo","makiso-kisangani","Province Oriental",331,"Makiso Kisangani","Makiso-Kisangani","tp Tshopo Province","tp Makiso Kisangani Zone de Santé","makiso k","tshopo","","tp Tshopo","tp Makiso Kisangani"
"513","tshopo","mangobo","Province Oriental",333,"Mangobo","Mangobo","tp Tshopo Province","tp Mangobo Zone de Santé","mangobo","tshopo","","tp Tshopo","tp Mangobo"
"514","tshopo","opala","Province Oriental",451,"Opala","Opala","tp Tshopo Province","tp Opala Zone de Santé","opala","tshopo","","tp Tshopo","tp Opala"
"515","tshopo","opienge","Province Oriental",400,"Opienge","Opienge","tp Tshopo Province","tp Opienge Zone de Santé","opienge","tshopo","","tp Tshopo","tp Opienge"
"516","tshopo","tshopo","Province Oriental",335,"Tshopo","Tshopo","tp Tshopo Province","tp Tshopo Zone de Santé","tshopo","tshopo","","tp Tshopo","tp Tshopo"
"517","tshopo","ubundu","Province Oriental",207,"Ubundu","Ubundu","tp Tshopo Province","tp Ubundu Zone de Santé","ubundu","tshopo","","tp Tshopo","tp Ubundu"
"518","tshopo","wanie-rukula","Province Oriental",404,"Wanie Rukula","Wanie-Rukula","tp Tshopo Province","tp Wanierukula Zone de Santé","wanierukula","tshopo","","tp Tshopo","tp Wanierukula"
"519","tshopo","yabahondo","Province Oriental",208,"Yabahondo","Yabaondo","tp Tshopo Province","tp Yabaondo Zone de Santé","yabaondo","tshopo","","tp Tshopo","tp Yabaondo"
"520","tshopo","yahisule","Province Oriental",206,"Yahisule","Yahisuli","tp Tshopo Province","tp Yahisuli Zone de Santé","yahisuli","tshopo","","tp Tshopo","tp Yahisuli"
"521","tshopo","yahuma","Province Oriental",399,"Yahuma","Yahuma","tp Tshopo Province","tp Yahuma Zone de Santé","yahuma","tshopo","","tp Tshopo","tp Yahuma"
"522","tshopo","yakusu","Province Oriental",205,"Yakusu","Yakusu","tp Tshopo Province","tp Yakusu Zone de Santé","yakusu","tshopo","","tp Tshopo","tp Yakusu"
"523","tshopo","yaleko","Province Oriental",210,"Yaleko","Yaleko","tp Tshopo Province","tp Yaleko Zone de Santé","yaleko","tshopo","","tp Tshopo","tp Yaleko"
"524","tshopo","yalimbongo","Province Oriental",386,"Yalimbongo","Yalimbongo","tp Tshopo Province","tp Yalimbongo Zone de Santé","yalimbongo","tshopo","","tp Tshopo","tp Yalimbongo"
"525","tshuapa","bafale","Equateur",4,"Bafale","Befale","tu Tshuapa Province","tu Befale Zone de Santé","befale","tshuapa","","tu Tshuapa","tu Befale"
"526","tshuapa","boende","Equateur",303,"Boende","Boende","tu Tshuapa Province","tu Boende Zone de Santé","boende","tshuapa","","tu Tshuapa","tu Boende"
"527","tshuapa","bokungu","Equateur",306,"Bokungu","Bokungu","tu Tshuapa Province","tu Bokungu Zone de Santé","bokungu","tshuapa","","tu Tshuapa","tu Bokungu"
"528","tshuapa","bosanga","Equateur",305,"Bosanga","Busanga","tu Tshuapa Province","tu Busanga Zone de Santé","bosanga","tshuapa","","tu Tshuapa","tu Busanga"
"529","tshuapa","djolu","Equateur",398,"Djolu","Djolu","tu Tshuapa Province","tu Djolu Zone de Santé","djolu","tshuapa","","tu Tshuapa","tu Djolu"
"530","tshuapa","ikela","Equateur",450,"Ikela","Ikela","tu Tshuapa Province","tu Ikela Zone de Santé","ikela","tshuapa","","tu Tshuapa","tu Ikela"
"531","tshuapa","lingomo","Equateur",396,"Lingomo","Lingomo","tu Tshuapa Province","tu Lingomo Zone de Santé","lingomo","tshuapa","","tu Tshuapa","tu Lingomo"
"532","tshuapa","mompono","Equateur",307,"Mompono","Mompono","tu Tshuapa Province","tu Mompono Zone de Santé","mompono","tshuapa","","tu Tshuapa","tu Mompono"
"533","tshuapa","mondombe","Equateur",397,"Mondombe","Mondombe","tu Tshuapa Province","tu Mondombe Zone de Santé","mondombe","tshuapa","","tu Tshuapa","tu Mondombe"
"534","tshuapa","monkoto","Equateur",458,"Monkoto","Monkoto","tu Tshuapa Province","tu Monkoto Zone de Santé","monkoto","tshuapa","","tu Tshuapa","tu Monkoto"
"535","tshuapa","wema","Equateur",304,"Wema","Wema","tu Tshuapa Province","tu Wema Zone de Santé","wema","tshuapa","","tu Tshuapa","tu Wema"
"536","tshuapa","yalifafo","Equateur",455,"Yalifafo","Yalifafu","tu Tshuapa Province","tu Yalifafu Zone de Santé","yalifafu","tshuapa","","tu Tshuapa","tu Yalifafu"
