"","health_zone","dps","province_shp","zs_id","hz_shp1","hz_shp2","dps_snis","hz_snis","hz_pnlp","dps_pnlp","hz_snis_cleaned","hz_pnlt"
"516","watsa","haut-uele","Province Oriental","282","Watsa","Watsa","hu Haut Uele Province","hu Watsa Zone de Santé","watsa","haut-uele","watsa","watsa"
"517","wema","tshuapa","Equateur","304","Wema","Wema","tu Tshuapa Province","tu Wema Zone de Santé","wema","tshuapa","wema","wema"
"518","wembo-nyama","sankuru","Kasai Oriental","62","Wembo Nyama","Wembo-Nyama","sn Sankuru Province","sn Wembo Nyama Zone de Santé","wembo nyama","sankuru","wembo-nyama","wembonyama"
"519","winkong","lomami","Kasai Oriental","41","Winkong","Wikong","lm Lomami Province","lm Wikong Zone de Santé","wikong","lomami","wikong","wikong"
"520","yabahondo","tshopo","Province Oriental","208","Yabahondo","Yabaondo","tp Tshopo Province","tp Yabaondo Zone de Santé","yabaondo","tshopo","yabaondo","yabaondo"
"521","yahisule","tshopo","Province Oriental","206","Yahisule","Yahisuli","tp Tshopo Province","tp Yahisuli Zone de Santé","yahisuli","tshopo","yahisuli","yahisuli"
"522","yahuma","tshopo","Province Oriental","399","Yahuma","Yahuma","tp Tshopo Province","tp Yahuma Zone de Santé","yahuma","tshopo","yahuma","yahuma"
"523","yakoma","nord-ubangi","Equateur","434","Yakoma","Yakoma","nu Nord Ubangi Province","nu Yakoma Zone de Santé","yakoma","nord ubangi","yakoma","yakoma"
"524","yakusu","tshopo","Province Oriental","205","Yakusu","Yakusu","tp Tshopo Province","tp Yakusu Zone de Santé","yakusu","tshopo","yakusu","yakusu"
"525","yaleko","tshopo","Province Oriental","210","Yaleko","Yaleko","tp Tshopo Province","tp Yaleko Zone de Santé","yaleko","tshopo","yaleko","yaleko"
"526","yalifafo","tshuapa","Equateur","455","Yalifafo","Yalifafu","tu Tshuapa Province","tu Yalifafu Zone de Santé","yalifafu","tshuapa","yalifafu","yalifafu"
"527","yalimbongo","tshopo","Province Oriental","386","Yalimbongo","Yalimbongo","tp Tshopo Province","tp Yalimbongo Zone de Santé","yalimbongo","tshopo","yalimbongo","yalimbongo"
"528","yamaluka","mongala","Equateur","315","Yamaluka","Yamaluka","mg Mongala Province","mg Yamaluka Zone de Santé","yamaluka","mongala","yamaluka","yamaluka"
"529","yambuku","mongala","Equateur","392","Yambuku","Yambuku","mg Mongala Province","mg Yambuku Zone de Santé","yambuku","mongala","yambuku","yambuku"
"530","yamongili","mongala","Equateur","390","Yamongili","Yamongili","mg Mongala Province","mg Yamongili Zone de Santé","yamongili","mongala","yamongili","yamongili"
"531","yanga-bosa","kwilu","Bandundu","142","Yanga bosa","Yasa-Bonga","kl Kwilu Province","kl Yasa Bonga Zone de Santé","yasa-bonga","kwilu","yasa-bonga","yasa-bonga"
"532","yangala","kasai-central","Kasai Occidental","11","Yangala","Yangala","kr Kasai Central Province","kr Yangala Zone de Santé","yangala","kasai central","yangala","yangala"
"533","yumbi","mai-ndombe","Bandundu","420","Yumbi","Yumbi","md Maindombe Province","md Yumbi Zone de Santé","yumbi","mai-ndombe","yumbi","yumbi"
"534","zongo","sud-ubangi","Equateur","428","Zongo","Zongo","su Sud Ubangi Province","su Zongo Zone de Santé","zongo","sud ubangi","zongo","zongo"
